batch_index,seed,products_final,mode,num_enzymes,gox_count,hrp_count,num_substrate,dt,total_time
94,781375,8964.00000000066,bulk,100,50,50,9000,0.0015,50
95,934670,8994.00000000067,bulk,100,50,50,9000,0.0015,50
96,138607,8939.00000000067,bulk,100,50,50,9000,0.0015,50
97,573135,8984.00000000062,bulk,100,50,50,9000,0.0015,50
98,474696,8958.00000000065,bulk,100,50,50,9000,0.0015,50
99,21783,8981.00000000066,bulk,100,50,50,9000,0.0015,50
100,343751,8976.00000000062,bulk,100,50,50,9000,0.0015,50
101,170560,8985.00000000069,bulk,100,50,50,9000,0.0015,50
102,796341,8964.00000000066,bulk,100,50,50,9000,0.0015,50
103,318102,8994.00000000062,bulk,100,50,50,9000,0.0015,50
104,533247,8965.0000000007,bulk,100,50,50,9000,0.0015,50
105,173992,8980.00000000065,bulk,100,50,50,9000,0.0015,50
106,605962,8985.00000000066,bulk,100,50,50,9000,0.0015,50
107,270341,8985.00000000064,bulk,100,50,50,9000,0.0015,50
108,657538,8955.00000000066,bulk,100,50,50,9000,0.0015,50
109,692322,8976.00000000064,bulk,100,50,50,9000,0.0015,50
110,750670,8988.00000000067,bulk,100,50,50,9000,0.0015,50
111,456036,8950.00000000065,bulk,100,50,50,9000,0.0015,50
112,92983,8978.00000000064,bulk,100,50,50,9000,0.0015,50
113,236687,8969.00000000065,bulk,100,50,50,9000,0.0015,50
114,914203,8863.00000000068,bulk,100,50,50,9000,0.0015,50
115,160854,8947.0000000007,bulk,100,50,50,9000,0.0015,50
116,827558,8996.00000000063,bulk,100,50,50,9000,0.0015,50
117,542959,8981.00000000063,bulk,100,50,50,9000,0.0015,50
118,996173,8946.00000000067,bulk,100,50,50,9000,0.0015,50
119,87393,8985.00000000061,bulk,100,50,50,9000,0.0015,50
120,448251,8980.00000000064,bulk,100,50,50,9000,0.0015,50
121,115586,8979.00000000067,bulk,100,50,50,9000,0.0015,50
122,962279,8965.00000000066,bulk,100,50,50,9000,0.0015,50
123,14587,8983.00000000062,bulk,100,50,50,9000,0.0015,50
124,777161,8976.00000000063,bulk,100,50,50,9000,0.0015,50
125,819130,8961.00000000067,bulk,100,50,50,9000,0.0015,50
126,870007,8987.00000000065,bulk,100,50,50,9000,0.0015,50
127,93591,8979.00000000065,bulk,100,50,50,9000,0.0015,50
128,405784,8979.00000000062,bulk,100,50,50,9000,0.0015,50
129,267271,8988.0000000007,bulk,100,50,50,9000,0.0015,50
130,802067,8982.00000000065,bulk,100,50,50,9000,0.0015,50
131,437099,8962.00000000063,bulk,100,50,50,9000,0.0015,50
132,911541,8923.00000000066,bulk,100,50,50,9000,0.0015,50
133,190028,8985.00000000068,bulk,100,50,50,9000,0.0015,50
134,271164,8992.00000000063,bulk,100,50,50,9000,0.0015,50
135,154083,8987.00000000062,bulk,100,50,50,9000,0.0015,50
136,144707,8976.00000000066,bulk,100,50,50,9000,0.0015,50
137,870599,8968.00000000063,bulk,100,50,50,9000,0.0015,50
138,583907,8964.00000000065,bulk,100,50,50,9000,0.0015,50
139,554361,8974.00000000067,bulk,100,50,50,9000,0.0015,50
140,153505,8962.00000000061,bulk,100,50,50,9000,0.0015,50
141,854500,8972.00000000064,bulk,100,50,50,9000,0.0015,50
142,625834,8977.00000000065,bulk,100,50,50,9000,0.0015,50
143,357442,8962.00000000064,bulk,100,50,50,9000,0.0015,50
144,518117,8983.00000000064,bulk,100,50,50,9000,0.0015,50
145,407789,8957.00000000065,bulk,100,50,50,9000,0.0015,50
146,85207,8991.00000000065,bulk,100,50,50,9000,0.0015,50
147,247516,8992.00000000065,bulk,100,50,50,9000,0.0015,50
148,132085,8978.00000000069,bulk,100,50,50,9000,0.0015,50
149,192068,8978.00000000065,bulk,100,50,50,9000,0.0015,50
150,247553,8990.00000000062,bulk,100,50,50,9000,0.0015,50
151,423094,8975.00000000068,bulk,100,50,50,9000,0.0015,50
152,59157,8978.00000000063,bulk,100,50,50,9000,0.0015,50
153,903688,8959.00000000066,bulk,100,50,50,9000,0.0015,50
154,945339,8971.00000000065,bulk,100,50,50,9000,0.0015,50
155,495955,8981.00000000069,bulk,100,50,50,9000,0.0015,50
156,494360,8986.00000000065,bulk,100,50,50,9000,0.0015,50
157,344342,8945.00000000063,bulk,100,50,50,9000,0.0015,50
158,901053,8922.00000000064,bulk,100,50,50,9000,0.0015,50
159,375554,8994.00000000063,bulk,100,50,50,9000,0.0015,50
160,120090,8973.00000000066,bulk,100,50,50,9000,0.0015,50
161,782449,8987.00000000064,bulk,100,50,50,9000,0.0015,50
162,395841,8987.00000000067,bulk,100,50,50,9000,0.0015,50
163,249274,8964.00000000066,bulk,100,50,50,9000,0.0015,50
164,409873,8967.00000000071,bulk,100,50,50,9000,0.0015,50
165,105489,8987.00000000069,bulk,100,50,50,9000,0.0015,50
166,140653,8960.00000000067,bulk,100,50,50,9000,0.0015,50
167,942630,8979.00000000065,bulk,100,50,50,9000,0.0015,50
168,956573,8995.00000000067,bulk,100,50,50,9000,0.0015,50
169,579456,8966.00000000066,bulk,100,50,50,9000,0.0015,50
170,69181,8957.00000000064,bulk,100,50,50,9000,0.0015,50
171,242432,8970.00000000061,bulk,100,50,50,9000,0.0015,50
172,359626,8982.00000000065,bulk,100,50,50,9000,0.0015,50
173,822982,8983.00000000068,bulk,100,50,50,9000,0.0015,50
174,25249,8915.00000000069,bulk,100,50,50,9000,0.0015,50
175,52593,8963.00000000065,bulk,100,50,50,9000,0.0015,50
176,177300,8991.00000000065,bulk,100,50,50,9000,0.0015,50
177,652624,8929.00000000069,bulk,100,50,50,9000,0.0015,50
178,734405,8987.00000000063,bulk,100,50,50,9000,0.0015,50
179,651268,8983.00000000064,bulk,100,50,50,9000,0.0015,50
180,456414,8987.00000000069,bulk,100,50,50,9000,0.0015,50
181,551538,8994.00000000064,bulk,100,50,50,9000,0.0015,50
182,303357,8986.00000000064,bulk,100,50,50,9000,0.0015,50
183,747245,8959.00000000064,bulk,100,50,50,9000,0.0015,50
184,197065,8990.00000000067,bulk,100,50,50,9000,0.0015,50
185,689907,8935.00000000071,bulk,100,50,50,9000,0.0015,50
186,191676,8981.00000000069,bulk,100,50,50,9000,0.0015,50
187,374799,8948.00000000064,bulk,100,50,50,9000,0.0015,50
188,629362,8963.00000000068,bulk,100,50,50,9000,0.0015,50
189,782425,8996.00000000059,bulk,100,50,50,9000,0.0015,50
190,90314,8960.00000000064,bulk,100,50,50,9000,0.0015,50
191,930092,8978.00000000066,bulk,100,50,50,9000,0.0015,50
192,777955,8990.00000000062,bulk,100,50,50,9000,0.0015,50
193,491923,8982.00000000066,bulk,100,50,50,9000,0.0015,50
194,441500,8974.00000000066,bulk,100,50,50,9000,0.0015,50
195,452315,8987.00000000066,bulk,100,50,50,9000,0.0015,50
196,313285,8978.00000000065,bulk,100,50,50,9000,0.0015,50
197,513423,8986.00000000068,bulk,100,50,50,9000,0.0015,50
198,515663,8991.00000000064,bulk,100,50,50,9000,0.0015,50
199,819451,8985.00000000068,bulk,100,50,50,9000,0.0015,50
200,796883,8987.00000000059,bulk,100,50,50,9000,0.0015,50
